Owner Name,Pet Name,Pet Type,Gender,Owner Address,Grooming Service Type,Service Date,Service Price,Customer ID,Groomer ID,Appointment ID,Pet ID,Pet Breed,Preferred Groomer Years of Experience,Groomer Gender,Appointment Status,Appointment Date,Time
Hannah,Charlie,Bird,Female,101 Purr Pl,Bathing,30/10/2024,50,CUST0001,GROOM018,APPT00001,PET0001,Bulldog,3,Female,Cancelled,02/12/2024,12:30
Alice,Daisy,Rabbit,Female,456 Groom Ave,Bathing,20/08/2024,120,CUST0002,GROOM020,APPT00002,PET0002,Poodle,14,Male,Scheduled,21/11/2024,09:30
Daisy,Charlie,Dog,Female,123 Pet St,Nail Trimming,06/06/2024,90,CUST0003,GROOM020,APPT00003,PET0003,Bulldog,10,Female,Completed,21/11/2024,14:45
Charlie,Lucy,Bird,Female,101 Purr Pl,Ear Cleaning,06/03/2024,50,CUST0004,GROOM007,APPT00004,PET0004,Siamese,9,Female,Scheduled,02/12/2024,13:45
Alice,Rocky,Dog,Female,123 Pet St,Dental Care,16/10/2024,120,CUST0005,GROOM002,APPT00005,PET0005,Persian,8,Female,Completed,06/11/2024,15:45
Daisy,Milo,Rabbit,Female,101 Purr Pl,Full Grooming,29/07/2024,150,CUST0006,GROOM009,APPT00006,PET0006,Labrador,8,Female,Scheduled,23/11/2024,17:30
Alice,Daisy,Bird,Female,456 Groom Ave,Dental Care,03/12/2023,90,CUST0007,GROOM013,APPT00007,PET0007,Bulldog,7,Female,Cancelled,26/11/2024,12:15
George,Oscar,Bird,Female,456 Groom Ave,Dental Care,21/01/2024,70,CUST0008,GROOM005,APPT00008,PET0008,Persian,14,Female,Scheduled,18/11/2024,10:30
Jill,Lola,Bird,Male,123 Pet St,Full Grooming,05/10/2024,90,CUST0009,GROOM019,APPT00009,PET0009,Persian,1,Female,Completed,12/11/2024,18:15
Charlie,Bella,Bird,Female,123 Pet St,Ear Cleaning,22/03/2024,120,CUST0010,GROOM004,APPT00010,PET0010,Poodle,12,Male,Completed,19/11/2024,16:00
Alice,Buddy,Bird,Male,202 Wag Blvd,Nail Trimming,29/07/2024,100,CUST0011,GROOM005,APPT00011,PET0011,Bulldog,1,Female,Completed,22/11/2024,18:15
Hannah,Milo,Bird,Female,202 Wag Blvd,Nail Trimming,22/08/2024,90,CUST0012,GROOM018,APPT00012,PET0012,Poodle,15,Female,Completed,10/11/2024,14:15
George,Lola,Dog,Female,123 Pet St,Ear Cleaning,14/01/2024,120,CUST0013,GROOM011,APPT00013,PET0013,Corgi,5,Female,Scheduled,30/11/2024,15:15
Charlie,Lola,Cat,Female,789 Bark Rd,Bathing,25/09/2024,100,CUST0014,GROOM018,APPT00014,PET0014,Siamese,11,Female,Scheduled,26/11/2024,11:15
Daisy,Charlie,Bird,Male,123 Pet St,Dental Care,19/07/2024,90,CUST0015,GROOM013,APPT00015,PET0015,Corgi,9,Male,Completed,06/11/2024,11:30
Charlie,Charlie,Dog,Female,456 Groom Ave,Bathing,21/07/2024,150,CUST0016,GROOM019,APPT00016,PET0016,Bulldog,3,Male,Scheduled,06/11/2024,13:45
Charlie,Daisy,Dog,Male,202 Wag Blvd,Haircut,15/07/2024,70,CUST0017,GROOM008,APPT00017,PET0017,Persian,10,Female,Scheduled,02/12/2024,13:15
Daisy,Oscar,Bird,Male,202 Wag Blvd,Haircut,30/07/2024,50,CUST0018,GROOM020,APPT00018,PET0018,Poodle,5,Female,Completed,06/11/2024,10:00
George,Milo,Dog,Female,789 Bark Rd,Ear Cleaning,25/10/2024,120,CUST0019,GROOM006,APPT00019,PET0019,Persian,7,Male,Cancelled,09/11/2024,15:45
Daisy,Buddy,Dog,Male,456 Groom Ave,Bathing,20/06/2024,150,CUST0020,GROOM007,APPT00020,PET0020,Angora,2,Female,Completed,08/11/2024,10:00
Ian,Daisy,Bird,Female,456 Groom Ave,Nail Trimming,16/04/2024,150,CUST0021,GROOM020,APPT00021,PET0021,Beagle,9,Female,Scheduled,17/11/2024,09:30
Daisy,Bella,Dog,Female,123 Pet St,Bathing,18/05/2024,70,CUST0022,GROOM013,APPT00022,PET0022,Persian,13,Male,Scheduled,26/11/2024,13:00
Ian,Charlie,Rabbit,Female,123 Pet St,Full Grooming,18/08/2024,120,CUST0023,GROOM015,APPT00023,PET0023,Labrador,4,Male,Scheduled,28/11/2024,18:30
Bob,Charlie,Bird,Male,789 Bark Rd,Bathing,11/02/2024,30,CUST0024,GROOM009,APPT00024,PET0024,Siamese,14,Male,Completed,22/11/2024,11:15
Jill,Lola,Dog,Female,789 Bark Rd,Dental Care,27/12/2023,150,CUST0025,GROOM005,APPT00025,PET0025,Siamese,4,Female,Cancelled,07/11/2024,09:30
Jill,Charlie,Rabbit,Female,456 Groom Ave,Dental Care,19/10/2024,150,CUST0026,GROOM009,APPT00026,PET0026,Angora,15,Female,Completed,26/11/2024,11:45
Ethan,Daisy,Rabbit,Female,101 Purr Pl,Haircut,11/10/2024,120,CUST0027,GROOM020,APPT00027,PET0027,Corgi,8,Female,Scheduled,27/11/2024,12:30
Ethan,Lucy,Cat,Female,123 Pet St,Haircut,19/07/2024,70,CUST0028,GROOM010,APPT00028,PET0028,Bulldog,12,Male,Scheduled,18/11/2024,16:30
George,Buddy,Rabbit,Female,123 Pet St,Ear Cleaning,29/08/2024,100,CUST0029,GROOM016,APPT00029,PET0029,Labrador,13,Female,Scheduled,30/11/2024,17:00
Alice,Buddy,Dog,Female,202 Wag Blvd,Ear Cleaning,20/09/2024,70,CUST0030,GROOM008,APPT00030,PET0030,Poodle,10,Female,Scheduled,18/11/2024,15:30
Jill,Max,Rabbit,Female,202 Wag Blvd,Ear Cleaning,11/12/2023,150,CUST0031,GROOM012,APPT00031,PET0031,Bulldog,3,Female,Scheduled,25/11/2024,15:00
